content,text_tokens_stemmed,Label,Label NB,Label NB Average,Label SVM,Label SVM Average,Label NN
Keren asik buat mantai,keren asik manta,positif,positif,positif,positif,positif,positif
"Bagus lah ,setidaknya bisa buat seneng anak"" naik gajah ama onta.amw.lihat lumba"".memang tidak se lebar fan komplit di prigen.bogor dan bali.tp ok lah.tempatnya ok deket pantai jd sore,"" anak"" bisa.berenang.cuma kecewa dengan pelayanan resto nya saja.selebihnya ok.mksh",bagus neng anak gajah ama ontaamwlihat lumbamemang lebar fan komplit prigenbogor balitp ok lahtempatnya ok deket pantai jd sore anak bisaberenangcuma kecewa layan resto nya sajaselebihnya okmksh,positif,positif,positif,positif,positif,positif
"Taman Safari versi murahnya dbanding yg d Bogor n Jatim. HTM wkend dewasa 65k, anak:45k dapet voucher makan 20k/tiket. Ada atraksi satwa dilanjut dg dolphin show. Lokasinya asik deket pantai. Setiap malam minggu ada safari prime jam 18.30 …",taman safari versi murah dbanding yg d bogor n jatim htm wkend dewasa 65k anak45k dapet voucher makan 20ktiket atraksi satwa lanjut dg dolphin show lokasi asik deket pantai malam minggu safari prime jam 1830,positif,positif,positif,positif,positif,positif
"Pengunjungnya pas ksna rame ada bbrp bis dan Mbl Prbdi

Tp Perawatan nya kurang ya.. …",unjung pas ksna rame bbrp bis mbl prbditp awat nya ya,positif,positif,positif,positif,positif,positif
Kebun binatang mini di tepi pantai,kebun binatang mini tepi pantai,positif,positif,positif,positif,positif,positif
"Kebun binatang di pinggir pantai,, tempat seru dan asyik buat liburan bersama keluarga,, banyak tempat duduk,, dan tersedia pancuran buat bilas sehabis berenang di pantai,,",kebun binatang pinggir pantai seru asyik libur keluarga duduk sedia pancur bilas habis renang pantai,positif,positif,positif,positif,positif,positif
Tempat wisata yang komplit menurutku.puas pokonya bawa anak2 maen ke sini,wisata komplit menurutkupuas poko bawa anak2 maen,positif,positif,positif,positif,positif,positif
Sangat cocok buat anak-anak,cocok anakanak,positif,positif,positif,positif,positif,positif
"Josh mantap selain wisata edukasi buat anak"" Tempat ini cocok buat liburan bersama keliarga",josh mantap wisata edukasi anak cocok libur keliarga,positif,positif,positif,positif,positif,positif
btw tempate cakep cakk tapi harga makanan gak ngotak,btw tempate cakep cakk harga makan gak ngotak,positif,positif,positif,positif,positif,positif
Tempat wisata edukasi buat anak-anak. Keren juga atraksi hewan-hewannya,wisata edukasi anakanak keren atraksi hewanhewannya,positif,positif,positif,positif,positif,positif
Tempat cukup menarik cuma tiket klo bisa diturunkan harganya biar masyarakat kecil menengah bisa sering2 berkunjung,tarik tiket klo turun harga biar masyarakat tengah sering2 kunjung,positif,positif,positif,positif,positif,positif
Cukup bagus,bagus,positif,positif,positif,positif,positif,positif
jangan bawa makanan dari luar ya :),bawa makan ya,positif,positif,positif,positif,positif,positif
"HTM, cocok sih untuk semua pertunjukan.. sangat menghibur dan menarik meski wahana hewan masih belum lengkap.",htm cocok sih tunjuk hibur tarik wahana hewan lengkap,positif,positif,positif,positif,positif,positif
Safari mini yang rekomended,safari mini rekomended,positif,positif,positif,positif,positif,positif
Bersih rapih,bersih rapih,positif,positif,positif,positif,positif,positif
Direkomendasikan Pengunjung,rekomendasi unjung,positif,positif,positif,positif,positif,positif
"satpam g jelas, tidak ramah ditanya apa2 tidak tahu
foto grafer g jelas, malah nutupin kamera pribadi
area kotor, tidak terjaga kebersihannya",satpam g ramah apa2 tahufoto grafer g nutupin kamera pribadiarea kotor jaga bersih,negatif,positif,positif,negatif,positif,negatif
Suasana asri,suasana asri,positif,positif,positif,positif,positif,positif
bagus tempatnya sangat cocok untuk anak anak tk cukup mengedukasi,bagus tempat cocok anak anak tk edukasi,positif,positif,positif,positif,positif,positif
Tempat edukasi untuk anak dan pengenalan lumba-lumba kepada anak. Tapi tempatnya masih belum semuanya dibangun.,edukasi anak kenal lumbalumba anak tempat bangun,positif,positif,positif,positif,positif,positif
"Akses msk Safari beach jateng sdh bagus, tp knp hrs bli tiket msk ke pantai sigandu pdhal kami ga ke pantai sigandu.
Utk zoo lumayan beragam jenis hewannya,bs naik gajah nd onta juga, ada jg …",akses msk safari beach jateng sdh bagus tp knp hrs bli tiket msk pantai sigandu pdhal ga pantai siganduutk zoo lumayan agam jenis hewannyabs gajah nd onta jg,positif,positif,positif,positif,positif,positif
"Puas seharian... 💕
Hiburan cukup lengkap,
Atraksi binatang
Akrobatik show …",puas hari hibur lengkapatraksi binatangakrobatik show,positif,positif,positif,positif,positif,positif
"Tempat parkir luas, enak juga selain lumba² juga ada kebun binatang sama laut..

Akses jalan ke sana juga jalannya lumayan bagus, dan mudah dijangkau …",parkir luas enak lumba kebun binatang lautakses jalan jalan lumayan bagus mudah jangkau,positif,positif,positif,positif,positif,positif
"Ok lah, sayang sekali jauh dr rumahku",ok sayang dr rumah,positif,positif,positif,positif,positif,positif
Bagus,bagus,positif,positif,positif,positif,positif,positif
"Sebuah kebun binatang yang berlokasi di pinggir pantai. SBJ berkonsep show dan edukasi yang menarik. Beberapa tampilan adalah show lumba², ragam satwa (anjing, burung kakatua, kucing, binturong, dll.), show gajah, show burung pemangsa, …",kebun binatang lokasi pinggir pantai sbj konsep show edukasi tarik tampil show lumba ragam satwa anjing burung kakatua kucing binturong dll show gajah show burung mangsa,positif,positif,positif,positif,positif,positif
"Pertmuan LF IIBF disini...tmpt nyaman banget..blue resort nya menunya enak2 bgt...pantai bersih, tertata rapi,fasilitas lengkap...",pertmuan lf iibf disinitmpt nyaman bangetblue resort nya menu enak2 bgtpantai bersih tata rapifasilitas lengkap,positif,positif,positif,positif,positif,positif
Konsep dan tempatnya keren siih,konsep tempat keren siih,positif,positif,positif,positif,positif,positif
Bagus .. pantainya bersih . Terawat,bagus pantai bersih awat,positif,positif,positif,positif,positif,positif
"Untuk pengunjung luar kota karena belum tahu akses jadi 1 dengan pantai Sigandu sudah ditarik biaya masuk di pos awal
Tiket masuk weekend 50 ribu per orang …",unjung kota akses 1 pantai sigandu tarik biaya masuk pos awaltiket masuk weekend 50 ribu orang,positif,positif,positif,positif,positif,positif
Paling lengkap dan bagus,lengkap bagus,positif,positif,positif,positif,positif,positif
"Paket wisata yg lumayan lengkap, ada kebun binatang, pantai, dan yg paling ditunggu yaitu atraksi lumba-lumba, cocok utk keluarga.
Dengan harga tiket 65.000 (pas weekend) atau 50.000 (hari biasa) menurut aku n …",paket wisata yg lumayan lengkap kebun binatang pantai yg tunggu atraksi lumbalumba cocok utk keluargadengan harga tiket 65000 pas weekend 50000 n,positif,positif,positif,positif,positif,positif
"Atraksi lumba lumbanya super hebat. Anak saya yang tadinya takut, sampai ingin foto bareng lumba lumba.",atraksi lumba lumbanya super hebat anak takut foto bareng lumba lumba,positif,positif,positif,positif,positif,positif
Kesini pas weekend harga tiket anak 2-6th 45 dewasa 65 parkir mobil 10rb. Utk kebun binatangnya lumayan beragam hanya saja kebersihan perlu ditingkatkan terutama kaca2 dkandang hewannya sehingga bs terlihat lebih jelas namun disanyangkan …,kesini pas weekend harga tiket anak 26th 45 dewasa 65 parkir mobil 10rb utk kebun binatang lumayan agam bersih tingkat kaca2 dkandang hewan bs disanyangkan,positif,positif,positif,positif,positif,positif
Mantap bisa ditungguin n bisa lihat ngerjainnya jd ngk takut part dituker,mantap ditungguin n lihat ngerjainnya jd ngk takut part dituker,positif,positif,positif,positif,positif,positif
"Sangat mengecewakan jauh dibawah ekspektasi padahal piknik sekolah tidak ada tour guide hewan hanya sedikit tempat bilas anak terbuka apalagi soal makanan, tidak boleh bawa makanan dari luar tapi harga di dalam tidak masuk akal. Dim sum 3 …",kecewa bawah ekspektasi piknik sekolah tour guide hewan bilas anak buka makan bawa makan harga masuk akal dim sum 3,negatif,positif,positif,negatif,positif,negatif
Anak anak senang hati pun riang gembira,anak anak senang hati riang gembira,positif,positif,positif,positif,positif,positif
"Wahana ⭐⭐⭐⭐
Hewannya tidak banyak,
Area bermain di area pantai berpasirnya tidak terlalu luas. …",wahana hewan banyakarea main area pantai pasir luas,positif,positif,positif,positif,positif,positif
"Kalian sdh bagus sbnre, tp spot2 yg utk melihat hewan mnrt sya segera dibenahi scptnya, brg2 dibawah wahana lumba2 singkirkan sja pak krn mirip gudang jadinya, dan pertahankan kerimbunan serta kenyamanan, jgn smpe sprt solo, berubah nmn pst ckup sx ksna, sprt padang mashar,, panas bikin kapok,,",sdh bagus sbnre tp spot2 yg utk hewan mnrt sya benah scptnya brg2 bawah wahana lumba2 singkir sja krn gudang tahan rimbun nyaman jgn smpe sprt solo ubah nmn pst ckup sx ksna sprt padang mashar panas bikin kapok,positif,positif,positif,positif,positif,positif
Luarbiasa,luarbiasa,positif,positif,positif,positif,positif,positif
Kecewa bgt tadi kesini jauh2 udah pantengin ignya terus biar ada dolphin tayang mlh udah sampe ktnya ga tayang yaallah😭😭 ternyata bikin story di Ig waktu kami masih diperjalanan …,kecewa bgt kesini jauh2 udah pantengin ignya biar dolphin tayang mlh udah sampe ktnya ga tayang yaallah bikin story ig jalan,negatif,positif,positif,negatif,positif,negatif
"Nyaman, ada banyak hewan. Tempatnya Oke banget. sambil liat hewan trus mantai. cocok banget dateng sore. dapet vocer makan juga",nyaman hewan tempat oke banget liat hewan trus manta cocok banget dateng sore dapet vocer makan,positif,positif,positif,positif,positif,positif
"Sudah mencoba semua taman safari di jawa dan bali. Tapi yang ini paling kurang oke.
Dolphin show sangat membludak dan panas. …",coba taman safari jawa bal okedolphin show membludak panas,negatif,positif,positif,negatif,positif,negatif
"Safari beach yg bagus ..tempat untuk berkumpul keluarga  cocok untuk anak2..banyak hewan2 dan pertunjukan lumba2 ,bisa main di pantai juga",safari beach yg bagus kumpul keluarga cocok anak2banyak hewan2 tunjuk lumba2 main pantai,positif,positif,positif,positif,positif,positif
"Bikin happy anak2... Yg bapak2 bisa mancing, anak2 bisa naik gajah unta sama liat lumba2, yg ibu2 bisa foto2...",bikin happy anak2 yg bapak2 mancing anak2 gajah unta liat lumba2 yg ibu2 foto2,positif,positif,positif,positif,positif,positif
Kamar mandi bersihhh. Hewan terawat. Cafe bagus,kamar mandi bersihhh hewan awat cafe bagus,positif,positif,positif,positif,positif,positif
Kalau kami dayak bulusu nama burung ini Sangang,dayak bulusu nama burung sangang,positif,positif,positif,positif,positif,positif
Niceee....seruu,niceeeseruu,positif,positif,positif,positif,positif,positif
"1. Jalan tidak ramah kursi roda / stroller, sebagian masih tanah bebatuan
2. Sekelas Taman Safari, sumpah ini ukuran kandang & kebersihan amat sangat tidak layak! Sempit, bau, kotor. …",1 jalan ramah kursi roda stroller tanah bebatuan2 kelas taman safari sumpah ukur kandang bersih layak sempit bau kotor,negatif,positif,positif,negatif,positif,negatif
"htm terlalu mahal untuk wahana  yang tersedia

kurang lengkap untuk satwanya",htm mahal wahana tersediakurang lengkap satwa,positif,positif,positif,positif,positif,positif
"Kecewa banget.. acara piknik dari sekolahan.. gak ada pemandu nya. padahal ada 2 pemandu.. tpi malah gak terkondisikan dgn baik.. lihat lumba"" aja desak""an. jalur masuk untuk keluar dan masuk, jalur keluar juga untuk keluar dan masuk. udah …",kecewa banget acara piknik sekolah gak pandu nya 2 pandu tpi gak kondisi dgn lihat lumba aja desa jalur masuk masuk jalur masuk udah,negatif,positif,positif,negatif,negatif,negatif
Mantap,mantap,positif,positif,positif,positif,positif,positif
"Kelebihan : Cukup mudah dijangkau dr jalan raya

Kekurangan : harga makanan di food center tergolong mahal untuk ukuran wisata, …",lebih mudah jangkau dr jalan rayakekurangan harga makan food center golong mahal ukur wisata,positif,positif,positif,positif,positif,positif
"Bagus..
Pertunjukan bagus, tarian api",baguspertunjukan bagus tari api,positif,positif,positif,positif,positif,positif
Asalamualaikum. Mhn mf mau tanya. Google bisnis ku. Mengalami masalah verifikasi udah beberapa kli udah ak lakuin ttp gagal. Tolong bantuan ya pak / ibu,asalamualaikum mhn mf google bisnis ku alami verifikasi udah kli udah ak lakuin ttp gagal tolong bantu ya,negatif,negatif,positif,negatif,positif,negatif
Cukup bagus,bagus,positif,positif,positif,positif,positif,positif
"Bagus sekali pertunjukan lumba lumba nya, ada pantai nya juga di dalam, cocok untuk liburan bersama keluarga.",bagus tunjuk lumba lumba nya pantai nya cocok libur keluarga,positif,positif,positif,positif,positif,positif
"MAHALL!!!!!
Enggak worthit dengan harganya
Coba pengembang tengok lah cara kelola wisata tempat lain macam …",mahallenggak worthit harganyacoba kembang tengok kelola wisata,negatif,positif,positif,negatif,positif,negatif
Wahana Dolphin lg renov sampe Juni. Tarif murah utk ukuran grup Taman Safari. Staf ramah. …,wahana dolphin lg renov sampe juni tarif murah utk ukur grup taman safari staf ramah,positif,positif,positif,positif,positif,positif
"Bagus, menghibur cocok untuk wisata keluarga dan pendidikan",bagus hibur cocok wisata keluarga didik,positif,positif,positif,positif,positif,positif
Tempat bermain anak-anak yang luas,main anakanak luas,positif,positif,positif,positif,positif,positif
"Menarik aksesnya semakin diperbaiki, semoga segera selesai",tarik akses baik moga selesai,positif,positif,positif,positif,positif,positif
"Pantainya bersih.. Akses masuk udah oke. Petugas ramah, restonya juga yaa.. Menurut saya masih masuk akal ya harganya. Hewan2nya belum terlalu lengkap, masih proses pengembangan juga. Tp lumayan lah buat 'momong bocah'. Di bbeberapa area …",pantai bersih akses masuk udah oke tugas ramah restonya yaa masuk akal ya harga hewan2nya lengkap proses kembang tp lumayan momong bocah bbeberapa area,positif,positif,positif,positif,positif,positif
"Cukup bagus, menarik dan menghibur akan lebih bagus lagi jika nanti fasilitas lainnya sudah selesai dibangun  tambah lengkap",bagus tarik hibur bagus fasilitas selesai bangun lengkap,positif,positif,positif,positif,positif,positif
"Salah satu tempat favorit berlibur dgn anak², dari Semarang via tol exit Batang Kandeman. Kebun binatangnya jadi 1 dgn pantai Ujungnegoro kalau tdk salah, HTM public holiday hanya 70ribu tapi bisa menikmati sepuasnya hewan² di dalam dan …",salah favorit libur dgn anak semarang via tol exit batang kandeman kebun binatang 1 dgn pantai ujungnegoro tdk salah htm public holiday 70ribu nikmat puas hewan,positif,positif,positif,positif,positif,positif
Menyenagkan,menyenagkan,positif,positif,positif,positif,positif,positif
"Tempat wisata yang menarik,nyaman dan bagus",wisata menariknyaman bagus,positif,positif,positif,positif,positif,positif
"Bagus pantainya bisa buat bermain anak banyak huburannya, banyak hewan hewan jalan jalan, banyak makanannya, parkiran luas, ramah staff nya,sekarang ada restonya",bagus pantai main anak huburannya hewan hewan jalan jalan makan parkir luas ramah staff nyasekarang restonya,positif,positif,positif,positif,positif,positif
"Tempat yang lumayan buat liburan bersama keluarga, tapi harus di perbaiki lagi fasilitasnya kandang2 hewannya dan juga di tambahkan lagi koleksi binatangnya, dan buat kaum mendang mending yang mau ke sini lebih baik beli minuman di luar heheh karena lumayan harganya",lumayan libur keluarga baik fasilitas kandang2 hewan tambah koleksi binatang kaum dang mending beli minum heheh lumayan harga,positif,positif,positif,positif,positif,positif
Pas datang ke 2 kalinya gak bisa liat dolphin karena sedang perbaikan,pas 2 kali gak liat dolphin baik,positif,positif,positif,positif,positif,positif
Paling pas untuk menikmati pantai bersih dan murah di sekitar Pekalongan dan Batang,pas nikmat pantai bersih murah kalong batang,positif,positif,positif,positif,positif,positif
Bagus...,bagus,positif,positif,positif,positif,positif,positif
"Bilyard ternyaman yg pernah ada dikota solo

Note: minus AC saja, AC nya mohon utk segera diperbaiki🙏🏻 …",bilyard nyaman yg kota solonote minus ac ac nya mohon utk baik,positif,positif,positif,positif,positif,positif
"Masih banyak renovasi. Dolphin tidak ada sampai Juni 2024.
Harga tiket tetap, weekend diatas 5th 65k + parkir 10k mobil. Sepertinya tanpa dolphin show gak worthed.",renovasi dolphin juni 2024harga tiket weekend atas 5th 65k parkir 10k mobil dolphin show gak worthed,negatif,positif,positif,negatif,positif,positif
Bagusssssssss...,bagusssssssss,positif,positif,positif,positif,positif,positif
"Masih ada beberapa yg direnovasi sih, & salah 1nya blm bisa lihat pertunjukan dolphin krna ada penggantian kaca, tpi gantinya ada pertunjukan gajah.. kl bagi saya yg penting anak² seneng 😅😂🤗🫶 …",yg renovasi sih salah 1nya blm lihat tunjuk dolphin krna ganti kaca tpi ganti tunjuk gajah kl yg anak neng,positif,positif,positif,positif,positif,positif
"Kesana pas Sabtu sore, sengaja mau main di pantainya saja.
Ternyata seru, ada prime show
Atraksi yg menghibur
Pantai bersih",kesana pas sabtu sore sengaja main pantai sajaternyata seru prime showatraksi yg menghiburpantai bersih,positif,positif,positif,positif,positif,positif
Tempatnya enak buat nongkrong dan menghabiskan waktu.. Rekomendasi untuk anak anak juga bagus,tempat enak nongkrong habis rekomendasi anak anak bagus,positif,positif,positif,positif,positif,positif
"sentral utamanya adl show lumba2, burung, dan pantai. sebenarnya msh bisa di tata dan dikembangkan lebih lagi. beberapa tempat harusnya masih perlu dipaving daripada masih berupa jalan tanah (agar jika musim  hujan tidak becek). lap parkir …",sentral utama adl show lumba2 burung pantai msh tata kembang dipaving jalan tanah musim hujan becek lap parkir,positif,positif,positif,positif,positif,positif
"Satpamnya kurang open ke tamu, walau pun itu ojol,dan hanya mau mengantarkan makanann sikap  ketus,tidak ramah sama sekali.",satpam open tamu ojoldan antar makanann sikap ketustidak ramah,negatif,positif,positif,negatif,positif,positif
"bagus ,
hanya lokasinya blm tertata dg baik jd terlhat kotor,
ada baiknya klo dibuat larangan merokok dilokasi, …",bagus lokasi blm tata dg jd terlhat kotorada baik klo larang rokok lokasi,positif,positif,positif,positif,positif,positif
Jangan rekomendasikan,rekomendasi,negatif,positif,positif,positif,positif,positif
"Binatangnya hanya itu2 saja,tempat kotor kurang perawatan.trrsedia voucher makanan tapi makanan tidak ready.",binatang itu2 sajatempat kotor perawatantrrsedia voucher makan makan ready,negatif,positif,positif,negatif,positif,negatif
"Kotor, tanpa perabotan. Hewan-hewan tersebut dipelihara dalam kondisi yang sangat buruk. Kami membayar 65.000 untuk orang, saya ingin segera pergi setelah kami masuk.",kotor perabot hewanhewan pelihara kondisi buruk bayar 65000 orang pergi masuk,negatif,positif,positif,negatif,positif,positif
Tempat nyaman untuk bersantai bersama keluarga,nyaman santa keluarga,positif,positif,positif,positif,positif,positif
"Liburan ke Safari Beach Jateng worth it banget,karena bisa puas menonton lumba-lumba,atraksi hewan-hewan,feeding animal atau sekedar bersantai di pantai.cocok untuk berlibur bersama keluarga maupun bersama teman, kemarin aku dateng weekend tiketnya IDR 70.000 / orang, tapi sudah dapat kupon makanan IDR 20.000. parkir luas dan bersih.👍 …",libur safari beach jateng worth it bangetkarena puas tonton lumbalumbaatraksi hewanhewanfeeding animal dar santa pantaicocok libur keluarga teman kemarin dateng weekend tiket idr 70000 orang kupon makan idr 20000 parkir luas bersih,positif,positif,positif,positif,positif,positif
"Tiket Masuk ke Pantai 20rb tapi bisa dipakai buat beli makanan dan minuman di dalam.
Utk Tiket ke Zoo nya 65rb dg berbagai macam show animal, utk itu disarankan …",tiket masuk pantai 20rb pakai beli makan minum dalamutk tiket zoo nya 65rb dg show animal utk saran,positif,positif,positif,positif,positif,positif
"Seperti kebun binatang mini di pantai, jadi enak buat liburan keluarga, bisa lihat macam-macam binatang dan menikmati semilir angin pantai secara bersamaan.. mungkin yang kurang menurut saya makanannya yang mahal menurutku.",kebun binatang mini pantai enak libur keluarga lihat macammacam binatang nikmat milir angin pantai sama makan mahal turut,positif,positif,positif,positif,positif,positif
Cocok buat destinasi wisata keluarga,cocok destinasi wisata keluarga,positif,positif,positif,positif,positif,positif
"Enak untuk liburan keluarga.
Ada pantai pasir dan kebun Binatang
Dengan binatang yang jinak2 seperti Gajah nama Kartini mau di kasih makan oleh pengunjung",enak libur keluargaada pantai pasir kebun binatangdengan binatang jinak2 gajah nama kartini kasih makan unjung,positif,positif,positif,positif,positif,positif
"Tiket lebaran 70k sudah include nonton atraksi burung, atraksi hewan, lumba2. Bagus banget sih ini tempatnya buat edukasi anak2. Lumayan bersih dan terlihat well maintained sekali tempatnya. Pertahankan dan perbanyak lagi wahana2nya",tiket lebaran 70k include nonton atraksi burung atraksi hewan lumba2 bagus banget sih tempat edukasi anak2 lumayan bersih well maintained tempat tahan banyak wahana2nya,positif,positif,positif,positif,positif,positif
"Harga makanan mahal rasa gak enak gak ada asin nya ,gak boleh bawa makanan ,jangan kesini mending ke pantai cahaya aja ,pentas lumba2 nya panas bnget harga es teh cup 10rb",harga makan mahal gak enak gak asin nya gak bawa makan kesini mending pantai cahaya aja pentas lumba2 nya panas bnget harga es teh cup 10rb,negatif,positif,positif,negatif,positif,negatif
Obyek wisata dengan aneka ragam satwa di dalamnya,obyek wisata aneka ragam satwa dalam,positif,positif,positif,positif,positif,positif
"Pinggir pantai, tp tidak panas... Banyak pohon rendang buat ngadem...
Toilet juga bersih, fasilitas cukup lengkap...
Cocok untu liburan keluarga..
Tiket 70 K untuk Weekend",pinggir pantai tp panas pohon rendang ngademtoilet bersih fasilitas lengkapcocok untu libur keluargatiket 70 k weekend,positif,positif,positif,positif,positif,positif
Bagus tempatnya cuma kursi di lingkungan tempat makan masih kurang. Perlu ditambah lagi biar tidak rebutan.,bagus tempat kursi lingkung makan tambah biar rebut,positif,positif,positif,positif,positif,positif
"Permata tepi laut di Jawa Tengah ini benar-benar memanjakan indra Anda. Taman safari yang berdekatan memungkinkan Anda untuk melihat lebih dekat hewan-hewan eksotis seperti lumba-lumba lucu, gajah yang megah, unta bungkuk, dan burung beo …",permata tepi laut jawa benarbenar manja indra taman safari dekat hewanhewan eksotis lumbalumba lucu gajah megah unta bungkuk burung beo,positif,positif,positif,positif,positif,positif
Pengen tau suasananya,ken tau suasana,positif,positif,positif,positif,positif,positif
"Untuk tempat sangat nyaman,banyak stafnya jadi gak bakal bingung. Dilarang bawa makanan dari luar. Didalam banyak kedai makanan minuman.
TETAPI UNTUK HARGA MAKANAN DIDALAM WISATA TIDAK RAMAH DIKANTONG. …",nyamanbanyak staf gak bingung larang bawa makan dalam kedai makan minumantetapi harga makan dalam wisata ramah kantong,positif,positif,positif,positif,positif,positif
Cukup bagus untuk wisata dan dedikasi anak,bagus wisata dedikasi anak,positif,positif,positif,positif,positif,positif
"Pertama kalinya ke taman safari pinggir pantai, kereennn, bersih pantainya...",kali taman safari pinggir pantai kereennn bersih pantai,positif,positif,positif,positif,positif,positif
"Cocok untuk wisata keluarga, toilet bersih, petugas kebersihan gercep, tapi sayang banyak pengunjung yang masih buang sampah sembarangan, padahal tempat smpah ada di setiap sudut.",cocok wisata keluarga toilet bersih tugas bersih gercep sayang unjung buang sampah sembarang smpah sudut,positif,positif,positif,positif,positif,positif
"Overall 10/10, bagus banget buat keluarga.",overall 1010 bagus banget keluarga,positif,positif,positif,positif,positif,positif
Ini review untuk Blu Seafood: namanya resto seafood tapi tidak ada ikan lautnya. Terpaksa pesan nila. Minta sambel mentah atau dabu2 dikasihnya sambel yg manis sekali. Tampaknya mereka tdk tahu apa itu sambel mentah atau dabu2. Semuanya serba manis. Masakannya hambar rasanya.,review blu seafood nama resto seafood ikan laut paksa pesan nila sambel mentah dabu2 kasih sambel yg manis tdk sambel mentah dabu2 serba manis masakan hambar,negatif,negatif,positif,negatif,positif,positif
"tempat yg cocok utk wisata edukasi mengenal banyak fauna, saran mungkin utk jenis2 flora perlu disisipkan agr lebih lengkap",yg cocok utk wisata edukasi kenal fauna saran utk jenis2 flora sisip agr lengkap,positif,positif,positif,positif,positif,positif
Bersih tertib adem angin sepoy2.. libur lebaran tp ngga terlalu padat.. ramai lancar.. tiket 70 dpt voucer makanan 20..,bersih tertib adem angin sepoy2 libur lebaran tp ngga padat ramai lancar tiket 70 dpt voucer makan 20,positif,positif,positif,positif,positif,positif
"tempat yang ramah anak juga sangat menarik, terdapat aksi lumba lumba yang diminati oleh anak anak, tempat nya luas serta terdapat banyak sekali hewan yang menarik",ramah anak tarik aksi lumba lumba mati anak anak nya luas hewan tarik,positif,positif,positif,positif,positif,positif
"Lumayan tp masih kecil wilayahnya, sepertinya akan di perluas nantinya",lumayan tp wilayah luas,positif,positif,positif,positif,positif,positif
Pertunjukan api di malam hari keren,tunjuk api malam keren,positif,positif,positif,positif,positif,positif
"Tempatnya sejuk,, terhibur dengan pertunjukan lumba lumbanya 🐬 …",tempat sejuk hibur tunjuk lumba lumbanya,positif,positif,positif,positif,positif,positif
"Pantainya biasa aja, engk ada yg istimewanya. Tidak sepadan dengan biaya masuk yg mahal",pantai aja engk yg istimewa padan biaya masuk yg mahal,negatif,positif,positif,negatif,positif,negatif
Moga satwa yang lain lebih di perhatikan kebersihan serta kesehatan nya.. ❤️Animal,moga satwa perhati bersih sehat nya animal,negatif,positif,positif,negatif,positif,positif
Pelayanan restoran lama,layan restoran,negatif,positif,positif,negatif,positif,positif
"pengalaman yg sangat menarik,bisa lihat bermacam macam hewan,tapi lumayan panas padahal dekat pantai,kayak ga ada anginnya gitu, untuk tiket masuk mahal tp okelah buat hiburan",alam yg menarikbisa lihat hewantapi lumayan panas pantaikayak ga angin gitu tiket masuk mahal tp oke hibur,positif,positif,positif,positif,positif,positif
Datang sebelum buka mini zoo nya. Sayang pantai pasirnya tidak terlalu luas... kalau pagi tidak panas dan ramai... di tepi pantai banyak tempat bersantai dan banyak jualan makanan dan minuman. Sayang banyak pengunjung yang masih saja buang sampah sembarangan... petugas kebersihan ok tapi... kebersihan tetap terjaga,buka mini zoo nya sayang pantai pasir luas pagi panas ramai tepi pantai santa jual makan minum sayang unjung buang sampah sembarang tugas bersih ok bersih jaga,positif,positif,positif,positif,positif,positif
bagus,bagus,positif,positif,positif,positif,positif,positif
"Pengalaman bukber di safari beach jateng, menunya enak, lengkap, view nya dapet dan yg menarik ada pertunjukan hiburan",alam bukber safari beach jateng menu enak lengkap view nya dapet yg tarik tunjuk hibur,positif,positif,positif,positif,positif,positif
"perlu banyak renovasi, tapi konsepnya keren. kita dapat menikmati pantai & kebun binatang pada saat yang sama.. jadi saya menyarankan taman safari untuk mengisi lebih banyak hewan laut/air untuk menggabungkan konsepnya",renovasi konsep keren nikmat pantai kebun binatang saran taman safari isi hewan lautair gabung konsep,positif,positif,positif,positif,positif,positif
Tempatnya seru dan harga tiket murah,tempat seru harga tiket murah,positif,positif,positif,positif,positif,positif
Tempatnya nyaman dan makanannya enak,tempat nyaman makan enak,positif,positif,positif,positif,positif,positif
Destinasi wisata murah meriah,destinasi wisata murah riah,positif,positif,positif,positif,positif,positif
SANGAT SANGAT SANGAT WORTH IT UNTUK DIKUNJUNGIII!!!❤️❤️❤️,worth it dikunjungiii,positif,positif,positif,positif,positif,positif
Harus terus dikembangkan safari nya,kembang safari nya,positif,positif,positif,positif,positif,positif
"Harga tiket memang lumayan mahal, namun pantainya memang bersih. Parkiran luas. Ada atraksi lumba-lumba, naik gajah/onta, dan bisa melihat hewan2 lainnya. Sekitar 45 menit dari exit tol kandeman Batang.",harga tiket lumayan mahal pantai bersih parkir luas atraksi lumbalumba gajahonta hewan2 45 menit exit tol kandeman batang,positif,positif,positif,positif,positif,positif
Tempat yang asyik buat rekreasi bersama keluarga.. pengalaman sekali bisa wisata fauna di dekat pantai …,asyik rekreasi keluarga alam wisata fauna pantai,positif,positif,positif,positif,positif,positif
Tempat yang sangat bagus untuk berkumpul bersama keluarga.,bagus kumpul keluarga,positif,positif,positif,positif,positif,positif
"Sayang, area terbuka dilarang merokok",sayang area buka larang rokok,positif,positif,positif,positif,positif,positif
"Rekomendasi buat anak"" tapi sayang kotor tempatnya",rekomendasi anak sayang kotor tempat,positif,positif,positif,positif,positif,positif
Cafe nya bagus,cafe nya bagus,positif,positif,positif,positif,positif,positif
"Bagus,booth jajan annya enak"",, paling seru nonton lumba"" nya sii",bagusbooth jajan annya enak seru nonton lumba nya sii,positif,positif,positif,positif,positif,positif
